date,value,quality
2000-01-01 00:00:00+00:00,151.0,3
2000-01-02 00:00:00+00:00,147.0,3
2000-01-03 00:00:00+00:00,144.0,3
2000-01-04 00:00:00+00:00,143.0,3
2000-01-05 00:00:00+00:00,142.0,3
2000-01-06 00:00:00+00:00,149.0,3
2000-01-07 00:00:00+00:00,153.0,3
2000-01-08 00:00:00+00:00,151.0,3
2000-01-09 00:00:00+00:00,144.0,3
2000-01-10 00:00:00+00:00,144.0,3
2000-01-11 00:00:00+00:00,141.0,3
2000-01-12 00:00:00+00:00,141.0,3
2000-01-13 00:00:00+00:00,141.0,3
2000-01-14 00:00:00+00:00,136.0,3
2000-01-15 00:00:00+00:00,122.0,3
2000-01-16 00:00:00+00:00,116.0,3
2000-01-17 00:00:00+00:00,116.0,3
2000-01-18 00:00:00+00:00,123.0,3
2000-01-19 00:00:00+00:00,124.0,3
2000-01-20 00:00:00+00:00,123.0,3
2000-01-21 00:00:00+00:00,123.0,3
2000-01-22 00:00:00+00:00,123.0,3
2000-01-23 00:00:00+00:00,119.0,3
2000-01-24 00:00:00+00:00,122.0,3
2000-01-25 00:00:00+00:00,121.0,3
2000-01-26 00:00:00+00:00,121.0,3
2000-01-27 00:00:00+00:00,121.0,3
2000-01-28 00:00:00+00:00,117.0,3
2000-01-29 00:00:00+00:00,113.0,3
2000-01-30 00:00:00+00:00,117.0,3
2000-01-31 00:00:00+00:00,121.0,3
2000-02-01 00:00:00+00:00,121.0,3
2000-02-02 00:00:00+00:00,120.0,3
2000-02-03 00:00:00+00:00,109.0,3
2000-02-04 00:00:00+00:00,111.0,3
2000-02-05 00:00:00+00:00,118.0,3
2000-02-06 00:00:00+00:00,123.0,3
2000-02-07 00:00:00+00:00,130.0,3
2000-02-08 00:00:00+00:00,137.0,3
2000-02-09 00:00:00+00:00,139.0,3
2000-02-10 00:00:00+00:00,143.0,3
2000-02-11 00:00:00+00:00,146.0,3
2000-02-12 00:00:00+00:00,145.0,3
2000-02-13 00:00:00+00:00,144.0,3
2000-02-14 00:00:00+00:00,143.0,3
2000-02-15 00:00:00+00:00,142.0,3
2000-02-16 00:00:00+00:00,140.0,3
2000-02-17 00:00:00+00:00,138.0,3
2000-02-18 00:00:00+00:00,132.0,3
2000-02-19 00:00:00+00:00,114.0,3
2000-02-20 00:00:00+00:00,105.0,3
2000-02-21 00:00:00+00:00,108.0,3
2000-02-22 00:00:00+00:00,115.0,3
2000-02-23 00:00:00+00:00,116.0,3
2000-02-24 00:00:00+00:00,117.0,3
2000-02-25 00:00:00+00:00,117.0,3
2000-02-26 00:00:00+00:00,117.0,3
2000-02-27 00:00:00+00:00,117.0,3
2000-02-28 00:00:00+00:00,122.0,3
2000-02-29 00:00:00+00:00,134.0,3
2000-03-01 00:00:00+00:00,150.0,3
2000-03-02 00:00:00+00:00,155.0,3
2000-03-03 00:00:00+00:00,157.0,3
2000-03-04 00:00:00+00:00,154.0,3
2000-03-05 00:00:00+00:00,149.0,3
2000-03-06 00:00:00+00:00,145.0,3
2000-03-07 00:00:00+00:00,141.0,3
2000-03-08 00:00:00+00:00,131.0,3
2000-03-09 00:00:00+00:00,127.0,3
2000-03-10 00:00:00+00:00,126.0,3
2000-03-11 00:00:00+00:00,125.0,3
2000-03-12 00:00:00+00:00,123.0,3
2000-03-13 00:00:00+00:00,122.0,3
2000-03-14 00:00:00+00:00,120.0,3
2000-03-15 00:00:00+00:00,114.0,3
2000-03-16 00:00:00+00:00,112.0,3
2000-03-17 00:00:00+00:00,111.0,3
2000-03-18 00:00:00+00:00,106.0,3
2000-03-19 00:00:00+00:00,111.0,3
2000-03-20 00:00:00+00:00,114.0,3
2000-03-21 00:00:00+00:00,120.0,3
2000-03-22 00:00:00+00:00,112.0,3
2000-03-23 00:00:00+00:00,113.0,3
2000-03-24 00:00:00+00:00,114.0,3
2000-03-25 00:00:00+00:00,104.0,3
2000-03-26 00:00:00+00:00,106.0,3
2000-03-27 00:00:00+00:00,109.0,3
2000-03-28 00:00:00+00:00,114.0,3
2000-03-29 00:00:00+00:00,116.0,3
2000-03-30 00:00:00+00:00,116.0,3
2000-03-31 00:00:00+00:00,113.0,3
2000-04-01 00:00:00+00:00,103.0,3
2000-04-02 00:00:00+00:00,100.0,3
2000-04-03 00:00:00+00:00,103.0,3
2000-04-04 00:00:00+00:00,112.0,3
2000-04-05 00:00:00+00:00,120.0,3
2000-04-06 00:00:00+00:00,126.0,3
2000-04-07 00:00:00+00:00,128.0,3
2000-04-08 00:00:00+00:00,124.0,3
2000-04-09 00:00:00+00:00,125.0,3
2000-04-10 00:00:00+00:00,130.0,3
2000-04-11 00:00:00+00:00,130.0,3
2000-04-12 00:00:00+00:00,132.0,3
2000-04-13 00:00:00+00:00,140.0,3
2000-04-14 00:00:00+00:00,146.0,3
2000-04-15 00:00:00+00:00,146.0,3
2000-04-16 00:00:00+00:00,143.0,3
2000-04-17 00:00:00+00:00,143.0,3
2000-04-18 00:00:00+00:00,148.0,3
2000-04-19 00:00:00+00:00,152.0,3
2000-04-20 00:00:00+00:00,145.0,3
2000-04-21 00:00:00+00:00,146.0,3
2000-04-22 00:00:00+00:00,148.0,3
2000-04-23 00:00:00+00:00,147.0,3
2000-04-24 00:00:00+00:00,142.0,3
2000-04-25 00:00:00+00:00,142.0,3
2000-04-26 00:00:00+00:00,139.0,3
2000-04-27 00:00:00+00:00,138.0,3
2000-04-28 00:00:00+00:00,129.0,3
2000-04-29 00:00:00+00:00,113.0,3
2000-04-30 00:00:00+00:00,105.0,3
2000-05-01 00:00:00+00:00,101.0,3
2000-05-02 00:00:00+00:00,100.0,3
2000-05-03 00:00:00+00:00,102.0,3
2000-05-04 00:00:00+00:00,104.0,3
2000-05-05 00:00:00+00:00,98.0,3
2000-05-06 00:00:00+00:00,85.0,3
2000-05-07 00:00:00+00:00,86.0,3
2000-05-08 00:00:00+00:00,80.0,3
2000-05-09 00:00:00+00:00,79.0,3
2000-05-10 00:00:00+00:00,77.0,3
2000-05-11 00:00:00+00:00,76.0,3
2000-05-12 00:00:00+00:00,70.0,3
2000-05-13 00:00:00+00:00,60.0,3
2000-05-14 00:00:00+00:00,55.0,3
2000-05-15 00:00:00+00:00,53.0,3
2000-05-16 00:00:00+00:00,52.0,3
2000-05-17 00:00:00+00:00,52.0,3
2000-05-18 00:00:00+00:00,51.0,3
2000-05-19 00:00:00+00:00,51.0,3
2000-05-20 00:00:00+00:00,51.0,3
2000-05-21 00:00:00+00:00,51.0,3
2000-05-22 00:00:00+00:00,51.0,3
2000-05-23 00:00:00+00:00,53.0,3
2000-05-24 00:00:00+00:00,51.0,3
2000-05-25 00:00:00+00:00,46.0,3
2000-05-26 00:00:00+00:00,44.0,3
2000-05-27 00:00:00+00:00,48.0,3
2000-05-28 00:00:00+00:00,56.0,3
2000-05-29 00:00:00+00:00,80.0,3
2000-05-30 00:00:00+00:00,106.0,3
2000-05-31 00:00:00+00:00,114.0,3
2000-06-01 00:00:00+00:00,116.0,3
2000-06-02 00:00:00+00:00,118.0,3
2000-06-03 00:00:00+00:00,118.0,3
2000-06-04 00:00:00+00:00,115.0,3
2000-06-05 00:00:00+00:00,113.0,3
2000-06-06 00:00:00+00:00,97.0,3
2000-06-07 00:00:00+00:00,72.0,3
2000-06-08 00:00:00+00:00,64.0,3
2000-06-09 00:00:00+00:00,65.0,3
2000-06-10 00:00:00+00:00,64.0,3
2000-06-11 00:00:00+00:00,68.0,3
2000-06-12 00:00:00+00:00,63.0,3
2000-06-13 00:00:00+00:00,56.0,3
2000-06-14 00:00:00+00:00,52.0,3
2000-06-15 00:00:00+00:00,49.0,3
2000-06-16 00:00:00+00:00,47.0,3
2000-06-17 00:00:00+00:00,44.0,3
2000-06-18 00:00:00+00:00,47.0,3
2000-06-19 00:00:00+00:00,48.0,3
2000-06-20 00:00:00+00:00,46.0,3
2000-06-21 00:00:00+00:00,47.0,3
2000-06-22 00:00:00+00:00,45.0,3
2000-06-23 00:00:00+00:00,46.0,3
2000-06-24 00:00:00+00:00,46.0,3
2000-06-25 00:00:00+00:00,46.0,3
2000-06-26 00:00:00+00:00,45.0,3
2000-06-27 00:00:00+00:00,44.0,3
2000-06-28 00:00:00+00:00,43.0,3
2000-06-29 00:00:00+00:00,43.0,3
2000-06-30 00:00:00+00:00,43.0,3
2000-07-01 00:00:00+00:00,43.0,3
2000-07-02 00:00:00+00:00,42.0,3
2000-07-03 00:00:00+00:00,45.0,3
2000-07-04 00:00:00+00:00,49.0,3
2000-07-05 00:00:00+00:00,51.0,3
2000-07-06 00:00:00+00:00,51.0,3
2000-07-07 00:00:00+00:00,51.0,3
2000-07-08 00:00:00+00:00,52.0,3
2000-07-09 00:00:00+00:00,48.0,3
2000-07-10 00:00:00+00:00,56.0,3
2000-07-11 00:00:00+00:00,60.0,3
2000-07-12 00:00:00+00:00,100.0,3
2000-07-13 00:00:00+00:00,114.0,3
2000-07-14 00:00:00+00:00,111.0,3
2000-07-15 00:00:00+00:00,108.0,3
2000-07-16 00:00:00+00:00,105.0,3
2000-07-17 00:00:00+00:00,97.0,3
2000-07-18 00:00:00+00:00,84.0,3
2000-07-19 00:00:00+00:00,78.0,3
2000-07-20 00:00:00+00:00,75.0,3
2000-07-21 00:00:00+00:00,72.0,3
2000-07-22 00:00:00+00:00,71.0,3
2000-07-23 00:00:00+00:00,70.0,3
2000-07-24 00:00:00+00:00,68.0,3
2000-07-25 00:00:00+00:00,68.0,3
2000-07-26 00:00:00+00:00,70.0,3
2000-07-27 00:00:00+00:00,73.0,3
