date,value_mill_m3
1990-01-02,195.7636
1990-01-08,189.3909
1990-01-15,181.6982
1990-01-22,180.0651
1990-01-29,180.3915
1990-02-05,188.3936
1990-02-12,205.8257
1990-02-19,201.4654
1990-02-26,209.0116
1990-03-05,208.0054
1990-03-12,202.1363
1990-03-19,203.6455
1990-03-26,214.8811
1990-04-02,216.5583
1990-04-09,217.2292
1990-04-16,213.875
1990-04-23,221.086
1990-04-30,230.87
1990-05-07,244.474
1990-05-14,251.1895
1990-05-21,254.9779
1990-05-28,256.3558
1990-06-01,256.5276
1990-06-04,257.7332
1990-06-05,257.3889
1990-06-06,257.2166
1990-06-08,256.5276
1990-06-11,256.5276
1990-06-13,256.3558
1990-06-18,256.7
1990-06-20,257.0447
1990-06-21,256.8724
1990-06-22,256.7
1990-06-25,259.4553
1990-06-27,256.7
1990-06-29,256.7
1990-07-02,257.3889
1990-07-04,256.3558
1990-07-05,256.0111
1990-07-06,263.2437
1990-07-07,265.8266
1990-07-08,263.5879
1990-07-09,261.005
1990-07-10,258.4221
1990-07-11,255.4945
1990-07-12,254.6337
1990-07-13,255.1503
1990-07-16,256.1834
1990-07-18,256.7
1990-07-20,255.6669
1990-07-23,254.6337
1990-07-27,252.9116
1990-07-30,250.1563
1990-08-02,247.0569
1990-08-06,245.5071
1990-08-08,243.4408
1990-08-10,241.5463
1990-08-13,241.5463
1990-08-14,240.3413
1990-08-17,240.8579
1990-08-20,241.7187
1990-08-22,242.7518
1990-08-23,243.0961
1990-08-27,243.785
1990-08-29,244.3016
1990-08-30,244.3016
1990-09-03,245.3347
1990-09-05,246.1961
1990-09-06,247.4011
1990-09-07,246.3679
1990-09-10,248.2624
1990-09-12,248.2624
1990-09-14,249.2955
1990-09-16,249.6397
1990-09-19,250.8453
1990-09-21,250.8453
1990-09-24,252.2226
1990-09-25,251.8784
1990-09-28,250.5011
1990-10-01,248.2624
1990-10-03,247.5734
1990-10-05,247.2292
1990-10-08,246.8845
1990-10-10,246.1961
1990-10-11,248.2624
1990-10-15,250.3287
1990-10-17,249.2955
1990-10-19,249.8121
1990-10-22,250.8453
1990-10-24,248.6066
1990-10-26,246.1961
1990-10-29,246.1961
1990-10-30,253.4282
1990-10-31,256.3558
1990-11-01,257.0447
1990-11-02,256.7
1990-11-03,256.0111
1990-11-05,255.3226
1990-11-07,253.6005
1990-11-09,251.3618
1990-11-12,247.4011
1990-11-14,244.9905
1990-11-16,243.4408
1990-11-19,241.3745
1990-11-21,238.7911
1990-11-23,235.864
1990-11-26,232.4197
1990-11-28,229.6645
1990-11-30,226.7374
1990-12-03,222.6047
1990-12-05,219.4094
1990-12-06,217.5644
1990-12-10,212.3658
1990-12-13,207.838
1990-12-17,201.6332
1990-12-24,191.7385
1990-12-31,194.9248
1991-01-07,190.2292
1991-01-10,189.2231
1991-01-14,185.4543
1991-01-21,175.8192
1991-02-04,157.0398
1991-02-11,147.9196
1991-02-18,136.9609
1991-02-25,127.4116
1991-03-04,117.9036
1991-03-11,109.0342
1991-03-18,100.4764
1991-03-25,95.49712
1991-04-02,91.54633
1991-04-08,100.6322
1991-04-15,118.6818
1991-04-22,122.5718
1991-04-29,117.1257
1991-05-06,114.7918
1991-05-13,119.9264
1991-05-20,122.7271
1991-05-27,129.2901
1991-06-03,132.8909
1991-06-10,135.3953
1991-06-17,140.2483
1991-06-24,144.6322
1991-07-01,149.4852
1991-07-05,150.8941
1991-07-15,152.9293
1991-07-22,153.8685
1991-07-29,154.3382
1991-08-05,147.1365
1991-08-12,146.354
1991-08-19,145.4147
1991-08-26,145.258
1991-09-02,144.9451
1991-09-09,144.3188
1991-09-16,143.8491
1991-09-23,144.9451
1991-09-30,147.4499
1991-10-07,153.3989
1991-10-14,155.9033
1991-10-21,159.1627
1991-10-28,161.1223
1991-11-04,168.144
1991-11-11,179.4118
1991-11-18,181.8617
1991-11-25,178.5955
1991-12-02,184.6375
1991-12-09,188.3936
1991-12-16,180.7185
1991-12-23,174.3495
1991-12-30,167.6542
1992-01-06,171.5737
1992-01-13,168.7974
1992-01-20,163.2452
1992-01-27,155.5904
1992-02-03,146.9803
1992-02-10,138.9961
1992-02-17,130.8557
1992-02-24,123.1939
1992-03-02,114.9471
1992-03-09,107.4786
1992-03-16,108.7232
1992-03-23,112.769
1992-03-30,116.97
1992-04-06,119.1486
1992-04-13,123.3497
1992-04-20,129.4468
1992-04-27,128.3508
1992-05-04,140.0921
1992-05-11,153.0855
1992-05-18,158.8363
1992-05-25,164.5519
1992-06-01,166.348
1992-06-09,167.0013
1992-06-15,167.0013
1992-06-22,166.6744
1992-06-29,166.348
1992-07-06,161.4492
1992-07-13,161.1223
1992-07-20,161.2857
1992-07-27,163.4087
1992-08-03,164.0615
1992-08-10,166.348
1992-08-17,172.0636
1992-08-24,177.1258
1992-08-31,185.1274
1992-09-07,193.2482
1992-09-14,200.1235
1992-09-21,207.838
1992-09-28,214.8811
1992-10-05,215.8873
1992-10-12,211.6948
1992-10-19,203.4777
1992-10-26,196.7698
1992-11-02,189.2231
1992-11-09,190.7323
1992-11-16,193.0804
1992-11-23,192.4094
1992-11-30,193.2482
1992-12-07,216.0552
1992-12-14,215.5521
1992-12-21,225.3595
1992-12-28,221.086
1993-01-04,211.6948
1993-01-11,202.1363
1993-01-18,194.4217
1993-01-25,188.5565
1993-02-01,179.9017
1993-02-08,173.8596
1993-02-15,165.5317
1993-02-22,155.9033
1993-03-01,145.7276
1993-03-08,135.552
1993-03-15,124.439
1993-03-22,117.7483
1993-03-29,109.9683
1993-04-05,100.3207
1993-04-13,88.12262
1993-04-19,80.08459
1993-04-26,80.53113
1993-05-03,115.4139
1993-05-10,133.9864
1993-05-18,148.8588
1993-05-24,156.2234
1993-06-07,162.4289
1993-06-14,163.2452
1993-06-21,163.4087
1993-06-28,163.7351
1993-07-05,163.7351
1993-07-12,163.7351
1993-07-19,165.8581
1993-07-26,166.8379
1993-08-02,167.9811
1993-08-09,178.7589
1993-08-16,182.8414
1993-08-23,184.1476
1993-08-30,184.801
1993-09-06,184.9644
1993-09-13,185.2908
1993-09-20,184.9644
1993-09-27,186.1071
1993-10-04,187.7402
1993-10-11,198.1112
1993-10-18,206.4962
1993-10-25,210.5213
1993-11-01,205.1548
1993-11-08,200.4592
1993-11-15,197.7759
1993-11-22,193.4156
1993-11-29,188.3936
1993-12-06,180.7185
1993-12-13,174.1866
1993-12-20,167.6542
1993-12-27,164.7149
1994-01-03,156.8768
1994-01-10,148.5459
1994-01-17,139.309
1994-01-24,130.2293
1994-01-31,120.549
1994-02-07,110.2793
1994-02-14,99.54288
1994-02-21,88.42016
1994-02-28,76.80988
1994-03-07,65.49759
1994-03-14,56.29988
1994-03-21,46.64027
1994-03-28,35.72737
1994-04-04,34.53492
1994-04-11,29.76511
1994-04-18,27.51244
1994-04-25,26.98273
1994-04-27,31.48768
1994-04-29,39.64027
1994-05-02,58.11995
1994-05-24,152.3029
1994-05-26,156.06
1994-05-28,158.183
1994-05-29,159.6526
1994-05-30,161.4492
1994-05-31,162.7554
1994-06-01,163.5717
1994-06-02,165.0418
1994-06-03,165.5317
1994-06-04,165.6946
1994-06-05,166.348
1994-06-06,167.8176
1994-06-09,169.2873
1994-06-10,171.5737
1994-06-11,172.0636
1994-06-12,172.0636
1994-06-13,173.0433
1994-06-14,173.6967
1994-06-15,173.8596
1994-06-16,173.8596
1994-06-17,174.513
1994-06-18,174.8394
1994-06-19,175.0029
1994-06-20,174.8394
1994-06-21,175.3293
1994-06-22,175.8192
1994-06-23,175.9826
1994-06-24,176.309
1994-06-27,175.9826
1994-06-28,176.9624
1994-06-29,176.7994
1994-07-04,176.7994
1994-07-05,177.4523
1994-07-06,177.6157
1994-07-07,177.4523
1994-07-08,177.4523
1994-07-11,177.6157
1994-07-14,178.5955
1994-07-18,179.4118
1994-07-19,179.4118
1994-07-20,179.4118
1994-07-21,179.5752
1994-07-22,179.5752
1994-07-25,179.7387
1994-07-26,179.7387
1994-07-27,179.9017
1994-07-28,179.7387
1994-08-01,180.2286
1994-08-08,180.7185
1994-08-15,181.0449
1994-08-22,182.0246
1994-08-26,184.6375
1994-08-29,193.9187
1994-09-05,201.9684
1994-09-06,202.8067
1994-09-08,204.6517
1994-09-10,211.8627
1994-09-12,217.7323
1994-09-15,223.2932
1994-09-16,225.1876
1994-09-19,230.181
1994-09-22,233.1087
1994-09-26,235.0026
1994-09-29,236.0363
1994-10-03,237.7579
1994-10-06,238.1026
1994-10-10,233.7976
1994-10-13,229.8368
1994-10-14,229.3203
1994-10-15,228.4595
1994-10-17,224.8429
1994-10-18,223.6379
1994-10-19,222.7766
1994-10-20,221.2538
1994-10-21,220.2477
1994-10-22,218.9063
1994-10-23,218.4032
1994-10-24,217.7323
1994-10-25,218.2354
1994-10-26,219.4094
1994-10-27,221.2538
1994-10-28,224.6711
1994-10-29,226.2208
1994-10-30,228.1147
1994-10-31,229.6645
1994-11-01,231.5589
1994-11-02,232.7645
1994-11-03,233.4529
1994-11-04,232.7645
1994-11-07,230.181
1994-11-08,230.0092
1994-11-09,229.3203
1994-11-10,228.4595
1994-11-11,227.7705
1994-11-12,226.9097
1994-11-13,226.0484
1994-11-14,225.1876
1994-11-15,224.8429
1994-11-16,224.6711
1994-11-17,223.9821
1994-11-18,223.6379
1994-11-19,222.4324
1994-11-21,221.086
1994-11-22,220.2477
1994-11-23,218.5706
1994-11-24,220.7508
1994-11-25,220.2477
1994-11-26,219.7446
1994-11-27,219.0737
1994-11-28,218.4032
1994-11-30,217.7323
1994-12-01,216.0552
1994-12-02,214.8811
1994-12-03,214.0429
1994-12-04,213.0367
1994-12-05,211.5275
1994-12-06,210.8565
1994-12-07,210.0182
1994-12-09,208.5085
1994-12-10,207.6702
1994-12-11,207.335
1994-12-12,206.3288
1994-12-13,206.1609
1994-12-14,205.49
1994-12-15,204.4838
1994-12-16,203.3098
