,probability
s000,0.02644444444444444
s001,0.02644444444444444
s002,0.02644444444444444
s003,0.02313888888888889
s004,0.02313888888888889
s005,0.02313888888888889
s006,0.021155555555555552
s007,0.021155555555555552
s008,0.021155555555555552
s009,0.01851111111111111
s010,0.01851111111111111
s011,0.01851111111111111
s012,0.018180555555555554
s013,0.018180555555555554
s014,0.018180555555555554
s015,0.012
s016,0.012
s017,0.012
s018,0.011899999999999997
s019,0.011899999999999997
s020,0.011899999999999997
s021,0.010908333333333332
s022,0.010908333333333332
s023,0.010908333333333332
s024,0.010577777777777776
s025,0.010577777777777776
s026,0.010577777777777776
s027,0.0102
s028,0.0102
s029,0.0102
s030,0.0102
s031,0.0102
s032,0.0102
s033,0.009255555555555555
s034,0.009255555555555555
s035,0.009255555555555555
s036,0.008924999999999999
s037,0.008924999999999999
s038,0.008924999999999999
s039,0.008924999999999999
s040,0.008924999999999999
s041,0.008924999999999999
s042,0.008680555555555556
s043,0.008680555555555556
s044,0.008680555555555556
s045,0.007272222222222222
s046,0.007272222222222222
s047,0.007272222222222222
s048,0.007272222222222222
s049,0.007272222222222222
s050,0.007272222222222222
s051,0.0072
s052,0.0072
s053,0.0072
s054,0.007199999999999999
s055,0.007199999999999999
s056,0.007199999999999999
s057,0.007199999999999999
s058,0.007199999999999999
s059,0.007199999999999999
s060,0.006944444444444444
s061,0.006944444444444444
s062,0.006944444444444444
s063,0.005949999999999999
s064,0.005949999999999999
s065,0.005949999999999999
s066,0.005399999999999999
s067,0.005399999999999999
s068,0.005399999999999999
s069,0.005288888888888888
s070,0.005288888888888888
s071,0.005288888888888888
s072,0.005208333333333333
s073,0.005208333333333333
s074,0.005208333333333333
s075,0.0051
s076,0.0051
s077,0.0051
s078,0.0051
s079,0.0051
s080,0.0051
s081,0.0048
s082,0.0048
s083,0.0048
s084,0.0048
s085,0.0048
s086,0.0048
s087,0.0046277777777777775
s088,0.0046277777777777775
s089,0.0046277777777777775
s090,0.0037500000000000003
s091,0.0037500000000000003
s092,0.0037500000000000003
s093,0.00375
s094,0.00375
s095,0.00375
s096,0.003472222222222222
s097,0.003472222222222222
s098,0.003472222222222222
s099,0.0031249999999999997
s100,0.0031249999999999997
s101,0.0031249999999999997
s102,0.0022500000000000003
s103,0.0022500000000000003
s104,0.0022500000000000003
s105,0.002083333333333333
s106,0.002083333333333333
s107,0.002083333333333333
s108,0.002083333333333333
s109,0.002083333333333333
s110,0.002083333333333333
s111,0.001875
s112,0.001875
s113,0.001875
s114,0.0017999999999999997
s115,0.0017999999999999997
s116,0.0017999999999999997
s117,0.001736111111111111
s118,0.001736111111111111
s119,0.001736111111111111
s120,0.0015
s121,0.0015
s122,0.0015
s123,0.0015
s124,0.0015
s125,0.0015
s126,0.0012499999999999998
s127,0.0012499999999999998
s128,0.0012499999999999998
s129,0.0008333333333333333
s130,0.0008333333333333333
s131,0.0008333333333333333
s132,0.0006333333333333333
s133,0.0006333333333333333
s134,0.0006333333333333333
s135,0.0006249999999999999
s136,0.0006249999999999999
s137,0.0006249999999999999
s138,0.0005555555555555554
s139,0.0005555555555555554
s140,0.0005555555555555554
s141,0.0003472222222222222
s142,0.0003472222222222222
s143,0.0003472222222222222
s144,0.00031666666666666665
s145,0.00031666666666666665
s146,0.00031666666666666665
s147,0.0002777777777777777
s148,0.0002777777777777777
s149,0.0002777777777777777
s150,0.00021111111111111108
s151,0.00021111111111111108
s152,0.00021111111111111108
s153,0.00013888888888888886
s154,0.00013888888888888886
s155,0.00013888888888888886
s156,0.00013888888888888886
s157,0.00013888888888888886
s158,0.00013888888888888886
s159,0.00013888888888888886
s160,0.00013888888888888886
s161,0.00013888888888888886
s162,0.00010555555555555554
s163,0.00010555555555555554
s164,0.00010555555555555554
s165,8.333333333333333e-05
s166,8.333333333333333e-05
s167,8.333333333333333e-05
s168,6.944444444444443e-05
s169,6.944444444444443e-05
s170,6.944444444444443e-05
s171,6.666666666666666e-05
s172,6.666666666666666e-05
s173,6.666666666666666e-05
s174,6.666666666666666e-05
s175,6.666666666666666e-05
s176,6.666666666666666e-05
s177,6.666666666666666e-05
s178,6.666666666666666e-05
s179,6.666666666666666e-05
s180,3.333333333333333e-05
s181,3.333333333333333e-05
s182,3.333333333333333e-05
s183,3.333333333333333e-05
s184,3.333333333333333e-05
s185,3.333333333333333e-05
s186,3.333333333333333e-05
s187,3.333333333333333e-05
s188,3.333333333333333e-05
s189,1.6666666666666664e-05
s190,1.6666666666666664e-05
s191,1.6666666666666664e-05
