year,s_init_J_GWh,OL_J_MNOK,OL_E_MNOK,OL_R_MNOK,OL_total_MNOK,CL_J_MNOK,CL_E_MNOK,CL_R_MNOK,CL_total_MNOK,PF_J_MNOK,PF_E_MNOK,PF_R_MNOK,PF_total_MNOK,VoF_J_MNOK,VoF_E_MNOK,VoF_R_MNOK,VoF_total_MNOK,regret_MNOK,OL_n_clamp_min,OL_n_clamp_max
2003,66.8446725,54.2677197865234,59.59891073365058,139.4868123553524,253.35344287552635,53.03441483645753,59.59891073365058,139.4868123553524,252.1201379254605,48.55306126684925,59.59891073365058,139.4868123553524,247.63878435585224,-1.2333049500658735,0.0,0.0,-1.2333049500658513,-4.481353569608271,0,0
2004,87.3894133,34.68210763353137,49.64034326321223,116.1795267862414,200.501977682985,38.92043335769206,49.64034326321223,116.1795267862414,204.7403034071457,43.84150627807889,49.64034326321223,116.1795267862414,209.66137632753254,4.238325724160686,0.0,0.0,4.2383257241606715,4.921072920386851,0,0
2005,126.95963578,39.49067552792873,46.93238954790148,109.84176277168432,196.26482784751454,39.356106559689884,46.93238954790148,109.84176277168432,196.1302588792757,42.2783781745861,46.93238954790148,109.84176277168432,199.05253049417192,-0.13456896823884545,0.0,0.0,-0.13456896823886036,2.9222716148962378,0,0
2006,124.394292,55.88565171033935,79.81349431582562,186.79753988810256,322.4966859142675,67.23087787572588,79.81349431582562,186.79753988810256,333.8419120796541,103.31549890380766,79.81349431582562,186.79753988810256,369.92653310773585,11.345226165386528,0.0,0.0,11.345226165386558,36.08462102808178,0,0
2007,109.210986,49.625936519723254,41.34053047594626,96.75443302881041,187.72090002447993,46.14360984235541,41.34053047594626,96.75443302881041,184.2385733471121,50.96410591181372,41.34053047594626,96.75443302881041,189.0590694165704,-3.4823266773678436,0.0,0.0,-3.482326677367836,4.820496069458306,0,0
2008,125.39873019999999,59.387101293934045,65.00070768919416,152.12931586832678,276.517124851455,79.63120952151148,65.00070768919416,152.12931586832678,296.7612330790324,95.4892002159573,65.00070768919416,152.12931586832678,312.61922377347827,20.24410822757743,0.0,0.0,20.24410822757745,15.85799069444585,0,0
2009,115.5041305,58.43117395921166,59.56784358481257,139.41410200700815,257.41311955103237,60.929818750075015,59.56784358481257,139.41410200700815,259.9117643418958,68.51449036469654,59.56784358481257,139.41410200700815,267.4964359565173,2.49864479086335,0.0,0.0,2.498644790863365,7.58467161462152,0,0
2010,109.55219205,79.93806925627275,82.2019883312974,192.3876322647386,354.52768985230875,77.86017503120627,82.2019883312974,192.3876322647386,352.4497956272423,78.94413360251592,82.2019883312974,192.3876322647386,353.53375419855195,-2.077894225066483,0.0,0.0,-2.077894225066483,1.0839585713096858,0,0
2011,67.4820113,59.25187490367098,72.22285499691506,169.03221382256714,300.5069437231532,55.29051853527397,72.22285499691506,169.03221382256714,296.54558735475615,69.94335827953523,72.22285499691506,169.03221382256714,311.1984270990174,-3.9613563683970123,0.0,0.0,-3.9613563683969977,14.652839744261206,2,0
2012,136.8343558,56.77745058321374,43.90985505804919,102.76774588054067,203.4550515218036,55.26965263479701,43.90985505804919,102.76774588054067,201.9472535733869,58.772447375750964,43.90985505804919,102.76774588054067,205.45004831434082,-1.5077979484167248,0.0,0.0,-1.5077979484167099,3.502794740953952,0,0
